순위,음식점 이름
258,백암순대국.뻐해장국
259,아이러브그릭
260,153구포국수 논현점
261,마포껍데기집
262,(주)커먼위켄드 강남2호지점
263,보승회관 논현역점
264,탕화쿵푸마라탕
265,써브웨이강남역지티타워점
242,뉴욕러브베이글 강남본점
243,강남진해장
244,흑우정 강남본점
245,동경규동 반포점
246,신전떡볶이
247,역전우동0410 신논현역점
248,청간막국수
249,로드샌드위치 신논현역점
250,지에스(GS)25 강남센타점
,
251,본죽
252,종로계림닭도리탕원조 구로디지털단지점
253,만추
254,하우마라탕
255,김나라분식
256,이태리부대찌개 (구로점)
257,뉴욕버거
258,백암순대국.뻐해장국
259,아이러브그릭
260,153구포국수 논현점
,
261,마포껍데기집
262,(주)커먼위켄드 강남2호지점
263,보승회관 논현역점
264,탕화쿵푸마라탕
265,써브웨이강남역지티타워점
